Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  0.0001
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
-------------------------------------------------------------------
(0.005141904857133217 : Denver Intl, United States)

(0.004999471027304196 : Chicago Ohare Intl, United States)

(0.004976377494570398 : Los Angeles Intl, United States)

(0.0038983600408835275 : Hartsfield Jackson Atlanta Intl, United States)

(0.003855114090982943 : Sydney Intl, Australia)

(0.003770203021700397 : Changi Intl, Singapore)

(0.003709276408906058 : Heathrow, United Kingdom)

(0.003623344047394254 : Capital Intl, China)

(0.0036033241229915074 : Charles De Gaulle, France)

(0.003585370251195201 : Dallas Fort Worth Intl, United States)

(0.0035291392290124654 : Domododevo, Russia)

(0.003503368887550257 : Frankfurt Main, Germany)

(0.0032964777363491946 : John F Kennedy Intl, United States)

(0.003240854318693179 : Schiphol, Netherlands)

(0.003128995967443179 : Lester B Pearson Intl, Canada)

(0.003110939658685744 : Dubai Intl, United Arab Emirates)

(0.0030641827913869407 : Eldorado Intl, Colombia)

(0.003051692583148779 : Incheon Intl, South Korea)

(0.0029595768674236336 : Ataturk, Turkey)

(0.0028241455661652576 : Pudong, China)

(0.0027847261927557414 : Brisbane Intl, Australia)

(0.0027843221849189184 : Licenciado Benito Juarez Intl, Mexico)

(0.0027462286848102036 : Barcelona, Spain)

(0.002700266792509593 : Hong Kong Intl, Hong Kong)

(0.0026764241066295487 : Suvarnabhumi Intl, Thailand)

(0.0026477519557243155 : Miami Intl, United States)

(0.0026322859467878632 : Aeroparque Jorge Newbery, Argentina)

(0.0026204392263684223 : Ninoy Aquino Intl, Philippines)

(0.0025761217748637042 : Minneapolis St Paul Intl, United States)

(0.002556717331206855 : Indira Gandhi Intl, India)

(0.002555161425814856 : George Bush Intercontinental, United States)

(0.002529505541505198 : Kuala Lumpur Intl, Malaysia)

(0.002510924268295571 : Charlotte Douglas Intl, United States)

(0.0024904973348502503 : San Francisco Intl, United States)

(0.0024886954129423686 : Seattle Tacoma Intl, United States)

(0.0024515350248009156 : Fiumicino, Italy)

(0.002438675950993797 : Pulkovo, Russia)

(0.0024142595572789003 : Johannesburg Intl, South Africa)

(0.002386463102226672 : Gatwick, United Kingdom)

(0.0023746919682704915 : Barajas, Spain)

(0.0023402569903982415 : Narita Intl, Japan)

(0.0023338795939103654 : Franz Josef Strauss, Germany)

(0.0022744357840675682 : Guarulhos Gov Andre Franco Montouro, Brazil)

(0.002241186453308724 : Schwechat, Austria)

(0.0022368066583765564 : Vancouver Intl, Canada)

(0.002221200369747155 : Mc Carran Intl, United States)

(0.0021881009290549403 : Chhatrapati Shivaji Intl, India)

(0.002169308193357554 : Baiyun Intl, China)

(0.0021684727605687007 : Ted Stevens Anchorage Intl, United States)

(0.002159739674541706 : Soekarno Hatta Intl, Indonesia)

(0.002142513509895283 : Auckland Intl, New Zealand)

(0.0021314368105786914 : Tokyo Intl, Japan)

(0.0021255908415272365 : Melbourne Intl, Australia)

(0.0020491965036674525 : Detroit Metro Wayne Co, United States)

(0.002037803318923865 : Newark Liberty Intl, United States)

(0.002018437936324774 : Brussels Natl, Belgium)

(0.001999375261299837 : Son Sant Joan, Spain)

(0.001995945813224242 : Washington Dulles Intl, United States)

(0.001992745442253727 : Manchester, United Kingdom)

(0.00199219359021128 : Jorge Chavez Intl, Peru)

(0.001957231549626939 : Wujiaba, China)

(0.0019368122137845235 : Shuangliu, China)

(0.0019333523159967972 : Dusseldorf, Germany)

(0.0019256884527017828 : Philadelphia Intl, United States)

(0.0019255288008336016 : Orlando Intl, United States)

(0.0019212874255431307 : Abu Dhabi Intl, United Arab Emirates)

(0.0019114530838222775 : Phoenix Sky Harbor Intl, United States)

(0.0019099889858719835 : Pierre Elliott Trudeau Intl, Canada)

(0.0019084430188578442 : Bethel, United States)

(0.0018910812580822394 : General Edward Lawrence Logan Intl, United States)

(0.0018751144293436754 : Kastrup, Denmark)

(0.0018729996806757876 : Gardermoen, Norway)

(0.0018656952018063578 : Sheremetyevo, Russia)

(0.0018653312112643138 : Taoyuan Intl, Taiwan)

(0.0018143372616907173 : Arlanda, Sweden)

(0.0018090261341709656 : Orly, France)

(0.0018057636670928212 : Fort Lauderdale Hollywood Intl, United States)

(0.0017892348508218815 : Zurich, Switzerland)

(0.001726382607689508 : Helsinki Vantaa, Finland)

(0.0017124571968713822 : King Abdulaziz Intl, Saudi Arabia)

(0.0017048978754523223 : Mehrabad Intl, Iran)

(0.0016923396111819147 : Presidente Juscelino Kubitschek, Brazil)

(0.0016671975823241566 : Jomo Kenyatta International, Kenya)

(0.001647140037807101 : Xianyang, China)

(0.0016283455285715823 : Faa\\'a International, French Polynesia)

(0.0015701351325432982 : Bole Intl, Ethiopia)

(0.001556516389121913 : Port Moresby Jacksons Intl, Papua New Guinea)

(0.0015444247046140786 : Lisboa, Portugal)

(0.001537135568054541 : Eleftherios Venizelos Intl, Greece)

(0.0015259843450446489 : Perth Intl, Australia)

(0.0015121055066774967 : King Khaled Intl, Saudi Arabia)

(0.001510790303697804 : Honolulu Intl, United States)

(0.0015092212598890203 : Malpensa, Italy)

(0.0014961046407686407 : Honiara International, Solomon Islands)

(0.0014810393937154912 : Salt Lake City Intl, United States)

(0.0014807466512846226 : Cairo Intl, Egypt)

(0.0014590740393845831 : Jiangbei, China)

(0.0014431549676024431 : Fairbanks Intl, United States)

(0.0013759936072191368 : Arturo Merino Benitez Intl, Chile)

(0.0013724084882687309 : Diwopu, China)

(0.0013640292452991973 : Dublin, Ireland)

(0.0013553867676626232 : Xiaoshan, China)

(0.0013420762104490993 : Calgary Intl, Canada)

(0.0013369428967337335 : Doha Intl, Qatar)

(0.0013362276375092862 : Baoan Intl, China)

(0.0013326803694941895 : Don Muang Intl, Thailand)

(0.001321742872282613 : Tegel, Germany)

(0.0013190451129949468 : Simon Bolivar Intl, Venezuela)

